OR,power_alpha_0.1,power_alpha_0.05
1.0,0.10000000000001315,0.05000000000002807
1.05,0.10727930110989922,0.05492624934956989
1.1,0.1282558929952316,0.0693418429269897
1.1500000000000001,0.16157029325528297,0.09289339787751529
1.2000000000000002,0.2057034635789769,0.12530239425096218
1.2500000000000002,0.25890455297675985,0.16615572453267494
1.3000000000000003,0.31917167372387667,0.21475190694298582
1.3500000000000003,0.3843007847533737,0.2700262593681138
1.4000000000000004,0.45199297313646014,0.33055828684187966
1.4500000000000004,0.5199952929010221,0.39464876679425254
1.5000000000000004,0.5862455275414025,0.46044388896897365
1.5500000000000005,0.6489948007797931,0.5260797490840824
1.6000000000000005,0.7068905832262548,0.5898219215911931
1.6500000000000006,0.7590129328981611,0.6501803209269403
1.7000000000000006,0.80486606580387,0.7059872244739225
1.7500000000000007,0.8443339551477329,0.7564343051254593
1.8000000000000007,0.8776120591191381,0.8010713268371905
1.8500000000000008,0.9051277682082186,0.8397739092392185
1.9000000000000008,0.9274605232731925,0.8726902012036631
1.9500000000000008,0.9452697222483679,0.9001766489228724
2.000000000000001,0.9592353546778551,0.9227318369472612
2.0500000000000007,0.9700134019158478,0.9409352643948498
2.100000000000001,0.9782057755176689,0.955395490104109
2.1500000000000012,0.9843430615303098,0.9667097965362391
2.200000000000001,0.9888775491860206,0.9754356654212964
2.250000000000001,0.9921838068483746,0.9820730485684955
2.300000000000001,0.9945642485511095,0.9870556498884376
2.3500000000000014,0.9962575417655101,0.9907491255813536
2.4000000000000012,0.9974482041193999,0.9934541384966528
2.450000000000001,0.9982762275998437,0.9954124459981802
