n_couples,actor_power,partner_power
100,0.7408606080204136,0.9400205196365546
125,0.8208473479033748,0.9735562072370592
150,0.8779715983145453,0.988694253541517
175,0.9179341343612084,0.9952870165031269
200,0.9454185086828807,0.9980766840054714
225,0.9640512785325531,0.9992293040535969
250,0.9765282996441421,0.9996960346797796
275,0.984793964135392,0.9998817783151165
300,0.9902181100313446,0.9999545877580825
325,0.9937476876843814,0.999982749324757
350,0.9960271130882412,0.9999935127339125
375,0.9974891310549403,0.9999975826786319
