n,power
100,0.5243860379266706
125,0.6038746604214219
150,0.6722570089827076
175,0.7304252521874339
200,0.7794339086838415
225,0.8203865521601259
250,0.8543625747960739
275,0.8823727971421484
300,0.905335349284358
325,0.9240653939736032
350,0.9392739608804239
375,0.9515724779101615
400,0.9614805881383893
425,0.9694355915357868
450,0.9758024031960764
475,0.9808833193980243
